title,category,county,address,address2,zip,address_full
Alexander Reed Cleaners,Laundry,City of St Louis,3850 Gravois Ave,"St Louis, MO 63116",63116,"3850 Gravois Ave, St Louis, MO 63116"
Chem-Dry,Laundry,City of St Louis,6820 Gravois Ave,"St Louis, MO 63116",63116,"6820 Gravois Ave, St Louis, MO 63116"
Clean Uniform,Laundry,City of St Louis,1316 S 7th St,"St Louis, MO 63104",63104,"1316 S 7th St, St Louis, MO 63104"
Coin Operated Laundromat,Laundry,City of St Louis,3950 S Broadway,"St Louis, MO 63118",63118,"3950 S Broadway, St Louis, MO 63118"
Cri Properties-Bat,Laundry,City of St Louis,3649 Bates St,"St Louis, MO 63116",63116,"3649 Bates St, St Louis, MO 63116"
Cri Properties-Keo,Laundry,City of St Louis,4020 Keokuk St,"St Louis, MO 63116",63116,"4020 Keokuk St, St Louis, MO 63116"
Demay Furs,Laundry,City of St Louis,2020 Cherokee St,"St Louis, MO 63118",63118,"2020 Cherokee St, St Louis, MO 63118"
Faultless Healthcare Linen,Laundry,City of St Louis,2030 S Broadway,"St Louis, MO 63104",63104,"2030 S Broadway, St Louis, MO 63104"
First Quality Dry Cleaners,Laundry,City of St Louis,1817 Park Ave,"St Louis, MO 63104",63104,"1817 Park Ave, St Louis, MO 63104"
Frontenac Cleaners West End,Laundry,City of St Louis,1937 Park Ave,"St Louis, MO 63104",63104,"1937 Park Ave, St Louis, MO 63104"
Guys Good Carpet Cleaning,Laundry,City of St Louis,3830 Illinois Ave,"St Louis, MO 63118",63118,"3830 Illinois Ave, St Louis, MO 63118"
Hoppys 3558 Grand,Laundry,City of St Louis,3558 S Grand Blvd,"St Louis, MO 63118",63118,"3558 S Grand Blvd, St Louis, MO 63118"
Ideal Cleaning,Laundry,City of St Louis,4670 Tesson St,"St Louis, MO 63116",63116,"4670 Tesson St, St Louis, MO 63116"
Komro Supply,Laundry,City of St Louis,2600 S 2nd St,"St Louis, MO 63118",63118,"2600 S 2nd St, St Louis, MO 63118"
Luxury Carpet Care,Laundry,City of St Louis,3746 S Spring Ave,"St Louis, MO 63116",63116,"3746 S Spring Ave, St Louis, MO 63116"
Michelle Lee Designs and Alterations at Orpheum Cleaners,Laundry,City of St Louis,3199 S Grand Blvd,"St Louis, MO 63118",63118,"3199 S Grand Blvd, St Louis, MO 63118"
Miller's Cleaners,Laundry,City of St Louis,1120 Sidney St,"St Louis, MO 63104",63104,"1120 Sidney St, St Louis, MO 63104"
Millers Cleaners,Laundry,City of St Louis,112 Sidney St,"St Louis, MO 63104",63104,"112 Sidney St, St Louis, MO 63104"
Millers Cleaners,Laundry,City of St Louis,2241 Gravois Ave,"St Louis, MO 63104",63104,"2241 Gravois Ave, St Louis, MO 63104"
Orpheum Cleaners,Laundry,City of St Louis,3199 S Grand Blvd,"St Louis, MO 63118",63118,"3199 S Grand Blvd, St Louis, MO 63118"
Patriot Commercial Cleaning,Laundry,City of St Louis,4325 Robert Ave,"St Louis, MO 63116",63116,"4325 Robert Ave, St Louis, MO 63116"
Pride Cleaning and Restoration,Laundry,City of St Louis,2437 Lemp Ave,"St Louis, MO 63104",63104,"2437 Lemp Ave, St Louis, MO 63104"
R & M Laundry,Laundry,City of St Louis,4000 Chippewa St,"St Louis, MO 63116",63116,"4000 Chippewa St, St Louis, MO 63116"
Saneco Cleaners,Laundry,City of St Louis,4040 S Grand Blvd,"St Louis, MO 63118",63118,"4040 S Grand Blvd, St Louis, MO 63118"
Santa Monica Valet Sho,Laundry,City of St Louis,4101 Alma Ave,"St Louis, MO 63116",63116,"4101 Alma Ave, St Louis, MO 63116"
Soulard Soap Laundromat,Laundry,City of St Louis,1800 S 9th St,"St Louis, MO 63104",63104,"1800 S 9th St, St Louis, MO 63104"
